FROM_TABLE,FROM_KEY,TO_TABLE,TO_KEY,SOURCE,MATURITY_LEVEL,MEMO
SID_ABE,1.Market Sales Domain,SID_ABE,top,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,1.Competitor ABE,SID_ABE,1.Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,1.Competitor Intelligence ABE,SID_ABE,1.Competitor ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,1.Competitor Product Correlation ABE,SID_ABE,1.Competitor ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,1.Contact Lead Prospect ABE,SID_ABE,1.Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,1.Market & Sales Strategy Plan ABE,SID_ABE,1.Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,1.Market Sales Forecast ABE,SID_ABE,1.Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,1.Market Sales Party Roles ABE,SID_ABE,1.Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,1.Market Sales Statistics ABE,SID_ABE,1.Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,1.Market Segment ABE,SID_ABE,1.Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,1.Marketing Campaign ABE,SID_ABE,1.Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,1.Sales Channel ABE,SID_ABE,1.Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,1.Sales Commission ABE,SID_ABE,1.Market Sales Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Customer Domain,SID_ABE,top,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Applied Customer Billing Rate ABE,SID_ABE,3.Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Applied Customer Billing Rate Spec ABE,SID_ABE,3.Applied Customer Billing Rate ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Customer Bill ABE,SID_ABE,3.Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Customer Billing Statistic ABE,SID_ABE,3.Customer Bill ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Customer Bill Collection ABE,SID_ABE,3.Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Customer Payment ABE,SID_ABE,3.Customer Bill Collection ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Dunning ABE,SID_ABE,3.Customer Bill Collection ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Customer Bill Inquiry ABE,SID_ABE,3.Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Customer Billing Account ABE,SID_ABE,3.Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Customer Billing Credit ABE,SID_ABE,3.Customer Billing Account ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Customer Interaction ABE,SID_ABE,3.Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Customer Party Roles ABE,SID_ABE,3.Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Customer Problem ABE,SID_ABE,3.Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Customer Product Order ABE,SID_ABE,3.Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Customer Service Level Agreement ABE,SID_ABE,3.Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,3.Customer Statistic ABE,SID_ABE,3.Customer Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Domain,SID_ABE,top,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Loyalty ABE,SID_ABE,2.Product Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Loyalty Program ABE,SID_ABE,2.Loyalty ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Loyalty Program Specification ABE,SID_ABE,2.Loyalty ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product ABE,SID_ABE,2.Product Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Example Product Entities ABE,SID_ABE,2.Product ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Network Product ABE,SID_ABE,2.Product ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Price ABE,SID_ABE,2.Product ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Usage Volume Product ABE,SID_ABE,2.Product ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Capacity ABE,SID_ABE,2.Product Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Configuration ABE,SID_ABE,2.Product Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Action ABE,SID_ABE,2.Product Configuration ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Offering ABE,SID_ABE,2.Product Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Pricing Logic Algorithm ABE,SID_ABE,2.Product Offering ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.PLA Spec ABE,SID_ABE,2.Pricing Logic Algorithm ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Catalog ABE,SID_ABE,2.Product Offering ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Offering Price ABE,SID_ABE,2.Product Offering ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Offering Price Rule ABE,SID_ABE,2.Product Offering ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Offering Price Tax ABE,SID_ABE,2.Product Offering ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Placement ABE,SID_ABE,2.Product Offering ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Promotion ABE,SID_ABE,2.Product Offering ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Specification ABE,SID_ABE,2.Product Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Example Product Specification Entities ABE,SID_ABE,2.Product Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Goods and Shipping Product Spec ABE,SID_ABE,2.Product Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Network Product Spec ABE,SID_ABE,2.Product Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Usage Volume Product Spec ABE,SID_ABE,2.Product Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Test ABE,SID_ABE,2.Product Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Usage ABE,SID_ABE,2.Product Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,2.Product Usage Spec ABE,SID_ABE,2.Product Usage ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Domain,SID_ABE,top,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service ABE,SID_ABE,4.Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Customer Facing Service ABE,SID_ABE,4.Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Customer Facing Service Example ABE,SID_ABE,4.Customer Facing Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.CustomerFacing Service Role ABE,SID_ABE,4.Customer Facing Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Resource Facing Service ABE,SID_ABE,4.Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Resource Facing Service Examples ABE,SID_ABE,4.Resource Facing Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Resource Facing Service Role ABE,SID_ABE,4.Resource Facing Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Capacity ABE,SID_ABE,4.Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Configuration ABE,SID_ABE,4.Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Order ABE,SID_ABE,4.Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Party Roles ABE,SID_ABE,4.Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Performance ABE,SID_ABE,4.Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Level Spec ABE,SID_ABE,4.Service Performance ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Performance Specification ABE,SID_ABE,4.Service Performance ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Problem ABE,SID_ABE,4.Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Specification ABE,SID_ABE,4.Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Customer Facing Service Spec ABE,SID_ABE,4.Service Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Customer Facing Service Spec Examples ABE,SID_ABE,4.Customer Facing Service Spec ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Customer Facing Service Spec Role ABE,SID_ABE,4.Customer Facing Service Spec ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Package ABE,SID_ABE,4.Customer Facing Service Spec ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Package Spec Examples ABE,SID_ABE,4.Service Package ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Resource Facing Service Spec ABE,SID_ABE,4.Service Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Resource Facing Service Spec Role ABE,SID_ABE,4.Resource Facing Service Spec ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Bundle ABE,SID_ABE,4.Resource Facing Service Spec ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Bundle Examples ABE,SID_ABE,4.Service Bundle ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Catalog ABE,SID_ABE,4.Service Specification ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Strategy & Plan ABE,SID_ABE,4.Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Test ABE,SID_ABE,4.Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.Service Usage ABE,SID_ABE,4.Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,4.TIP Service Management ABE,SID_ABE,4.Service Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Resource Domain,SID_ABE,top,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Resource ABE,SID_ABE,5.Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Compound Resource ABE,SID_ABE,5.Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Logical Resource ABE,SID_ABE,5.Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Address ABE,SID_ABE,5.Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Computing and Software ABE,SID_ABE,5.Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Software Resource and Software ABE,SID_ABE,5.Computing and Software ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Converged Network ABE,SID_ABE,5.Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.LogicalResource Examples ABE,SID_ABE,5.Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Management Information ABE,SID_ABE,5.Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Accounting ABE,SID_ABE,5.Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Management Method ABE,SID_ABE,5.Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Performance Info ABE,SID_ABE,5.Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Resource State ABE,SID_ABE,5.Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Resource Statistical ABE,SID_ABE,5.Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Security ABE,SID_ABE,5.Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Service State ABE,SID_ABE,5.Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Service Statistical Info ABE,SID_ABE,5.Management Information ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Protocol Service ABE,SID_ABE,5.Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Bridging Protocols ABE,SID_ABE,5.Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.LAN Protocols ABE,SID_ABE,5.Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Management Protocols ABE,SID_ABE,5.Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Routed Protocols ABE,SID_ABE,5.Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Routing Protocols ABE,SID_ABE,5.Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Signaling Protocols ABE,SID_ABE,5.Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Switching Protocols ABE,SID_ABE,5.Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.WAN Protocols ABE,SID_ABE,5.Protocol Service ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Resource Number ABE,SID_ABE,5.Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Statistics ABE,SID_ABE,5.Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.TIP Logical Resource ABE,SID_ABE,5.Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Network Resource Fulfillment ABE,SID_ABE,5.TIP Logical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Physical Resource ABE,SID_ABE,5.Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Auxiliary Component ABE,SID_ABE,5.Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Equipment ABE,SID_ABE,5.Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Equipment Holder ABE,SID_ABE,5.Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.HolderAtomic ABE,SID_ABE,5.Equipment Holder ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.HolderComposite ABE,SID_ABE,5.Equipment Holder ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Hardware ABE,SID_ABE,5.Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Physical Capacity ABE,SID_ABE,5.Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Physical Component ABE,SID_ABE,5.Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Physical Device ABE,SID_ABE,5.Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Physical Role ABE,SID_ABE,5.Physical Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Pysical Role Example ABE,SID_ABE,5.Physical Role ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.ResourceRole System View ABE,SID_ABE,5.Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.TIP Resource ABE,SID_ABE,5.Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Network Resource Assurance ABE,SID_ABE,5.TIP Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Network Resource Basic ABE,SID_ABE,5.TIP Resource ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Resource Capacity ABE,SID_ABE,5.Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Resource Configuration ABE,SID_ABE,5.Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Resource Order ABE,SID_ABE,5.Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Resource Number Portability ABE,SID_ABE,5.Resource Order ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Resource Number Portability Role ABE,SID_ABE,5.Resource Order ABE,Information_Framework_SID_Excel_Format_v21.0,4,
SID_ABE,5.Resource Party Roles ABE,SID_ABE,5.Resource Domain,Information_Framework_SID_Excel_Format_v21.0,4,
